pairkey,band,method,ok,ssim_edges,out_path,extra,flag_low_ssim
IMG_210204_095617_0127_,GRE,ORB_RANSAC,1,0.21235464977633794,artifacts\aligned\GRE\IMG_210204_095617_0127__GRE.tif,"{""inliers"": 335, ""matches"": 500, ""homography"": [[0.9648499488830566, -0.0047405678778886795, 17.824560165405273], [-0.03696848079562187, 0.9472192525863647, -1.6424278020858765], [-6.730010500177741e-05, -4.180380346952006e-05, 1.0]]}",1
IMG_210204_095619_0128_,RED,IDENTITY,1,1.0,artifacts\aligned\RED\IMG_210204_095619_0128__RED.tif,{},0
IMG_210204_095619_0128_,REG,ORB_RANSAC,1,0.1776576271817369,artifacts\aligned\REG\IMG_210204_095619_0128__REG.tif,"{""inliers"": 105, ""matches"": 500, ""homography"": [[1.0084079504013062, 0.006290544290095568, -7.375998497009277], [0.0026364524383097887, 0.9927358031272888, -29.12469482421875], [1.9044616692553973e-06, -4.777400590683101e-06, 1.0]]}",1
IMG_210204_095619_0128_,NIR,ORB_RANSAC,1,0.1311203794648978,artifacts\aligned\NIR\IMG_210204_095619_0128__NIR.tif,"{""inliers"": 43, ""matches"": 500, ""homography"": [[0.8205299377441406, -0.03076396882534027, 17.00826644897461], [-0.11571963876485825, 0.7260664701461792, 82.67439270019531], [-0.00015693434397689998, -0.00017690681852400303, 1.0]]}",1
IMG_210204_095619_0128_,GRE,ORB_RANSAC,1,0.21935276074546042,artifacts\aligned\GRE\IMG_210204_095619_0128__GRE.tif,"{""inliers"": 316, ""matches"": 500, ""homography"": [[1.0110517740249634, -0.0003745905705727637, 14.546560287475586], [0.02820466086268425, 1.0000890493392944, -20.687599182128906], [3.355834633111954e-05, -3.137651901852223e-06, 1.0]]}",1
IMG_210204_095621_0129_,RED,IDENTITY,1,1.0,artifacts\aligned\RED\IMG_210204_095621_0129__RED.tif,{},0
IMG_210204_095621_0129_,REG,ORB_RANSAC,1,0.13792503975800227,artifacts\aligned\REG\IMG_210204_095621_0129__REG.tif,"{""inliers"": 19, ""matches"": 500, ""homography"": [[0.6652671694755554, -0.002995662856847048, 24.498218536376953], [-0.10457055270671844, 0.9317988753318787, -20.03542137145996], [-0.0008190736407414079, 1.950393198058009e-05, 1.0]]}",1
IMG_210204_095621_0129_,NIR,ORB_RANSAC,1,0.12428849993752408,artifacts\aligned\NIR\IMG_210204_095621_0129__NIR.tif,"{""inliers"": 9, ""matches"": 500, ""homography"": [[-0.5029095411300659, -0.1527000069618225, 164.831787109375], [-2.3569326400756836, -0.9236820340156555, 923.0274658203125], [-0.0025570071302354336, -0.0010193521156907082, 1.0]]}",1
IMG_210204_095621_0129_,GRE,ORB_RANSAC,1,0.3291286517068194,artifacts\aligned\GRE\IMG_210204_095621_0129__GRE.tif,"{""inliers"": 258, ""matches"": 500, ""homography"": [[1.0006746053695679, 0.0006963250925764441, 15.060245513916016], [0.0008271854021586478, 1.0058060884475708, -19.458091735839844], [-8.810035296846763e-07, 5.2065875024709385e-06, 1.0]]}",1
IMG_210204_095623_0130_,RED,IDENTITY,1,1.0,artifacts\aligned\RED\IMG_210204_095623_0130__RED.tif,{},0
IMG_210204_095623_0130_,REG,ORB_RANSAC,1,0.04550274939035863,artifacts\aligned\REG\IMG_210204_095623_0130__REG.tif,"{""inliers"": 8, ""matches"": 500, ""homography"": [[-3.003539562225342, -1.4146374464035034, 723.391845703125], [-0.639898419380188, -0.45062828063964844, 191.85940551757812], [-0.003702514572069049, -0.0021687105763703585, 1.0]]}",1
IMG_210204_095623_0130_,NIR,ORB_RANSAC,1,0.06938513957240475,artifacts\aligned\NIR\IMG_210204_095623_0130__NIR.tif,"{""inliers"": 8, ""matches"": 500, ""homography"": [[0.28184130787849426, -1.8100186586380005, 702.8023681640625], [0.24352288246154785, -0.8171108961105347, 288.9477844238281], [0.0008214611443690956, -0.0028291938360780478, 1.0]]}",1
IMG_210204_095623_0130_,GRE,ORB_RANSAC,1,0.31450643344877066,artifacts\aligned\GRE\IMG_210204_095623_0130__GRE.tif,"{""inliers"": 236, ""matches"": 500, ""homography"": [[0.9955188035964966, -0.006406838074326515, 17.1995849609375], [-0.0023662950843572617, 0.9812309741973877, -13.569967269897461], [1.5648940632218e-07, -1.8293909306521527e-05, 1.0]]}",1
IMG_210204_095625_0131_,RED,IDENTITY,1,1.0,artifacts\aligned\RED\IMG_210204_095625_0131__RED.tif,{},0
IMG_210204_095625_0131_,REG,ORB_RANSAC,1,0.08859118594485563,artifacts\aligned\REG\IMG_210204_095625_0131__REG.tif,"{""inliers"": 10, ""matches"": 500, ""homography"": [[0.10701925307512283, -1.212297797203064, 718.0512084960938], [-0.0591248981654644, -0.6777503490447998, 425.19342041015625], [-2.689869870664552e-05, -0.0016286625759676099, 1.0]]}",1
IMG_210204_095625_0131_,NIR,ORB_RANSAC,1,0.1261037219866797,artifacts\aligned\NIR\IMG_210204_095625_0131__NIR.tif,"{""inliers"": 7, ""matches"": 500, ""homography"": [[-2.5175256729125977, -0.048771243542432785, 519.3695678710938], [-1.6665267944335938, -0.12099715322256088, 409.36920166015625], [-0.0041436320170760155, -0.00029834621818736196, 1.0]]}",1
IMG_210204_095625_0131_,GRE,ORB_RANSAC,1,0.34943371981345184,artifacts\aligned\GRE\IMG_210204_095625_0131__GRE.tif,"{""inliers"": 353, ""matches"": 500, ""homography"": [[1.0190203189849854, 0.01759813353419304, 8.009577751159668], [0.003151689423248172, 1.0306507349014282, -25.752952575683594], [5.5285991038545035e-06, 3.638453199528158e-05, 1.0]]}",1
IMG_210204_095626_0132_,RED,IDENTITY,1,1.0,artifacts\aligned\RED\IMG_210204_095626_0132__RED.tif,{},0
IMG_210204_095626_0132_,REG,ORB_RANSAC,1,0.20550637936181432,artifacts\aligned\REG\IMG_210204_095626_0132__REG.tif,"{""inliers"": 13, ""matches"": 500, ""homography"": [[0.8088926076889038, -0.08294785022735596, 42.36701583862305], [-0.2711174190044403, 0.9569008946418762, 0.596415638923645], [-0.00048395610065199435, 4.7597935918020085e-05, 1.0]]}",1
